transaction_id,timestamp,amount,currency,payment_method,issuer,merchant_id,status,error_code,error_message,latency_ms,retry_count,is_retry,original_transaction_id,region,processor
bd6ada82-6d10-451a-a38a-099d82aa908a,2026-01-30T22:41:28.945458,3871.44,INR,CREDIT_CARD,KOTAK_BANK,MERCHANT_0050,SUCCESS,,,307.32,0,False,,SOUTH,default
5713bc17-bd04-4486-bafa-f14a6acd68aa,2026-01-30T22:41:37.585458,756.02,INR,CREDIT_CARD,KOTAK_BANK,MERCHANT_0039,SUCCESS,,,257.87,0,False,,NORTH,default
3520f8c3-7622-4efd-8aa9-098c89c7c565,2026-01-30T22:41:46.225458,1424.64,INR,CREDIT_CARD,ICICI_BANK,MERCHANT_0013,SUCCESS,,,232.74,0,False,,NORTH,default
491048ed-0ed5-4e71-8abc-6b5285c24e76,2026-01-30T22:41:54.865458,1097.46,INR,DEBIT_CARD,ICICI_BANK,MERCHANT_0011,SUCCESS,,,204.82,0,False,,SOUTH,default
937637f4-a600-44ef-b28c-f8b839848700,2026-01-30T22:42:03.505458,1985.06,INR,DEBIT_CARD,ICICI_BANK,MERCHANT_0030,SUCCESS,,,206.51,0,False,,SOUTH,default
2d94c8d0-977b-4d8b-aa95-5f27c8b698ce,2026-01-30T22:42:12.145458,178.8,INR,UPI,ICICI_BANK,MERCHANT_0004,SUCCESS,,,206.36,2,True,be74e07e-fe25-47be-a7cd-d72882791548,WEST,default
30b14d9e-f5fc-4b4d-8093-1a87153dcaaf,2026-01-30T22:42:20.785458,1484.48,INR,NET_BANKING,YES_BANK,MERCHANT_0007,FAILED,INSUFFICIENT_FUNDS,Transaction declined,209.83,0,False,,NORTH,default
973e5bd7-15ad-4737-b25e-ae2108480d26,2026-01-30T22:42:29.425458,1652.33,INR,UPI,RAZORPAY,MERCHANT_0015,SUCCESS,,,181.42,0,False,,EAST,default
b4181ffd-b03e-4bb8-b57b-723808e90b26,2026-01-30T22:42:38.065458,1193.21,INR,DEBIT_CARD,PAYTM_BANK,MERCHANT_0003,SUCCESS,,,109.15,0,False,,WEST,default
d0b12733-b0fe-494e-80bc-d5446fc36ef5,2026-01-30T22:42:46.705458,16071.53,INR,DEBIT_CARD,KOTAK_BANK,MERCHANT_0037,SUCCESS,,,203.88,0,False,,CENTRAL,default
43b4a2a6-c2a9-44bf-8f4a-a32b5035ab5a,2026-01-30T22:42:55.345458,748.35,INR,CREDIT_CARD,PAYTM_BANK,MERCHANT_0037,SUCCESS,,,218.35,0,False,,NORTH,default
f52dfe4d-a880-47b1-81de-37d333651412,2026-01-30T22:43:03.985458,184.22,INR,CREDIT_CARD,KOTAK_BANK,MERCHANT_0001,SUCCESS,,,259.95,0,False,,EAST,default
46fb8214-0acd-4a54-a636-d8c9769d9e2f,2026-01-30T22:43:12.625458,78.54,INR,UPI,HDFC_BANK,MERCHANT_0035,SUCCESS,,,278.02,0,False,,NORTH,default
3ad2b7f5-dce9-4589-b622-e06da55fb153,2026-01-30T22:43:21.265458,337.3,INR,UPI,SBI,MERCHANT_0011,FAILED,FRAUD_SUSPECTED,Transaction declined,233.62,2,True,f3058efb-82d2-41e3-86ba-37257d77ffb6,WEST,default
61d4d937-f269-426a-876f-1072cab985e2,2026-01-30T22:43:29.905458,268.12,INR,CREDIT_CARD,YES_BANK,MERCHANT_0033,SUCCESS,,,198.07,0,False,,WEST,default
72b5c421-d6f4-4196-8e3b-b3271736021a,2026-01-30T22:43:38.545458,15784.0,INR,UPI,ICICI_BANK,MERCHANT_0027,FAILED,TIMEOUT,Transaction declined,258.79,0,False,,EAST,default
c2971d2b-1d5d-4946-98f3-046f58820dbf,2026-01-30T22:43:47.185458,62.88,INR,UPI,KOTAK_BANK,MERCHANT_0039,SUCCESS,,,241.64,0,False,,EAST,default
fefa2c86-2515-418a-9d8d-c6d8155a6441,2026-01-30T22:43:55.825458,2079.49,INR,DEBIT_CARD,AXIS_BANK,MERCHANT_0044,SUCCESS,,,268.84,0,False,,EAST,default
36e9a7cc-ec0d-4cbf-8213-37c90a0424a3,2026-01-30T22:44:04.465458,71.02,INR,CREDIT_CARD,RAZORPAY,MERCHANT_0026,SUCCESS,,,232.77,0,False,,SOUTH,default
d03c9ce7-5bdf-4bf3-8dad-03ec369a3bee,2026-01-30T22:44:13.105458,100.45,INR,DEBIT_CARD,HDFC_BANK,MERCHANT_0043,SUCCESS,,,114.16,0,False,,CENTRAL,default
a9e747b3-9f77-4251-af49-ec85b25068ea,2026-01-30T22:44:21.745458,419.48,INR,CREDIT_CARD,SBI,MERCHANT_0049,SUCCESS,,,219.34,0,False,,SOUTH,default
5a02c6e9-0c5f-486f-ac51-f387141cb4c7,2026-01-30T22:44:30.385458,1149.33,INR,WALLET,ICICI_BANK,MERCHANT_0003,FAILED,DECLINED,Transaction declined,209.98,0,False,,EAST,default
5c378ec2-e789-4e4f-b8cf-f86ea7031a74,2026-01-30T22:44:39.025458,2468.94,INR,DEBIT_CARD,PAYTM_BANK,MERCHANT_0037,SUCCESS,,,219.96,0,False,,SOUTH,default
53e11943-6cbb-4ebc-b451-5d71d890c98d,2026-01-30T22:44:47.665458,328.79,INR,NET_BANKING,RAZORPAY,MERCHANT_0037,SUCCESS,,,224.07,0,False,,WEST,default
